country,passengers_total,freight_total_tonnes,mail_total_tonnes,route,month_year_dt
New Zealand,793,3.21,0.0,Hobart-Christchurch,1987-04-01
United Arab Emirates,51,101.786,0.0,Melbourne-Abu Dhabi,1987-04-01
Netherlands,1024,23.596,0.967,Melbourne-Amsterdam,1987-04-01
Greece,2776,26.806,1.648,Melbourne-Athens,1987-04-01
New Zealand,14667,867.399,10.458,Melbourne-Auckland,1987-04-01
Bahrain,80,114.08,1.545,Melbourne-Bahrain,1987-04-01
Thailand,4786,281.568,0.521,Melbourne-Bangkok,1987-04-01
Yugoslavia,1698,54.485,0.0,Melbourne-Belgrade,1987-04-01
India,349,13.139,0.44,Melbourne-Bombay,1987-04-01
New Zealand,9168,347.34,3.01,Melbourne-Christchurch,1987-04-01
Sri Lanka,245,0.82,0.0,Melbourne-Colombo,1987-04-01
Indonesia,5885,8.462,0.29,Melbourne-Denpasar,1987-04-01
United Arab Emirates,51,258.897,0.0,Melbourne-Dubai,1987-04-01
Germany,2122,566.383,16.628,Melbourne-Frankfurt,1987-04-01
Hong Kong,8222,647.408,4.648,Melbourne-Hong Kong,1987-04-01
Usa,3593,167.424,0.236,Melbourne-Honolulu,1987-04-01
Indonesia,815,206.544,0.336,Melbourne-Jakarta,1987-04-01
Malaysia,4565,281.926,4.306,Melbourne-Kuala Lumpur,1987-04-01
Uk,6041,218.886,23.685,Melbourne-London,1987-04-01
Usa,4707,658.203,0.0,Melbourne-Los Angeles,1987-04-01
Uk,480,0.42,1.165,Melbourne-Manchester,1987-04-01
Philippines,3282,113.401,0.178,Melbourne-Manila,1987-04-01
Oman,50,20.0,0.0,Melbourne-Muscat,1987-04-01
Fiji,3928,112.651,1.386,Melbourne-Nadi,1987-04-01
Nauru,105,19.157,0.0,Melbourne-Nauru,1987-04-01
Usa,222,15.733,0.0,Melbourne-New York,1987-04-01
New Caledonia,199,13.193,0.04,Melbourne-Noumea,1987-04-01
Tahiti,590,71.811,0.0,Melbourne-Papeete,1987-04-01
Papua New Guinea,38,0.0,0.0,Melbourne-Port Moresby,1987-04-01
Italy,2355,65.34,2.0,Melbourne-Rome,1987-04-01
Usa,1413,276.143,23.952,Melbourne-San Francisco,1987-04-01
Singapore,14587,1015.595,4.274,Melbourne-Singapore,1987-04-01
Japan,1802,133.699,11.329,Melbourne-Tokyo,1987-04-01
Canada,230,2.804,1.473,Melbourne-Vancouver,1987-04-01
New Zealand,3488,176.273,2.502,Melbourne-Wellington,1987-04-01
New Zealand,1821,8.66,0.0,Norfolk Island-Auckland,1987-04-01
United Arab Emirates,10,0.1,0.0,Perth-Abu Dhabi,1987-04-01
Netherlands,9,0.0,0.0,Perth-Amsterdam,1987-04-01
Greece,86,0.0,0.0,Perth-Athens,1987-04-01
New Zealand,5165,107.8,0.836,Perth-Auckland,1987-04-01
Bahrain,53,32.161,0.087,Perth-Bahrain,1987-04-01
Thailand,1617,31.244,0.0,Perth-Bangkok,1987-04-01
Yugoslavia,108,0.022,0.0,Perth-Belgrade,1987-04-01
India,120,2.5,0.0,Perth-Bombay,1987-04-01
New Zealand,334,1.5,0.0,Perth-Christchurch,1987-04-01
Indonesia,5627,39.405,0.044,Perth-Denpasar,1987-04-01
Germany,340,1.938,0.01,Perth-Frankfurt,1987-04-01
Zimbabwe,931,19.574,0.696,Perth-Harare,1987-04-01
Hong Kong,4308,114.777,0.001,Perth-Hong Kong,1987-04-01
Usa,229,0.0,0.009,Perth-Honolulu,1987-04-01
Indonesia,821,66.328,0.0,Perth-Jakarta,1987-04-01
South Africa,530,7.08,0.0,Perth-Johannesburg,1987-04-01
Malaysia,6672,218.755,1.506,Perth-Kuala Lumpur,1987-04-01
Uk,5219,46.502,7.719,Perth-London,1987-04-01
Usa,74,0.0,0.0,Perth-Los Angeles,1987-04-01
Uk,350,0.114,0.0,Perth-Manchester,1987-04-01
Mauritius,107,5.361,0.0,Perth-Mauritius,1987-04-01
Oman,15,0.0,0.0,Perth-Muscat,1987-04-01
Italy,274,0.08,0.0,Perth-Rome,1987-04-01
Usa,264,0.0,2.005,Perth-San Francisco,1987-04-01
Singapore,17301,830.808,3.178,Perth-Singapore,1987-04-01
Japan,1247,38.071,0.479,Perth-Tokyo,1987-04-01
Indonesia,473,0.0,0.0,Port Hedland-Denpasar,1987-04-01
Indonesia,9,0.0,0.0,Port Hedland-Jakarta,1987-04-01
United Arab Emirates,168,102.04,0.0,Sydney-Abu Dhabi,1987-04-01
Netherlands,866,14.669,1.02,Sydney-Amsterdam,1987-04-01
Western Samoa,361,3.666,0.0,Sydney-Apia,1987-04-01
Greece,3230,41.677,1.823,Sydney-Athens,1987-04-01
New Zealand,56765,2284.215,41.372,Sydney-Auckland,1987-04-01
Bahrain,271,41.129,2.022,Sydney-Bahrain,1987-04-01
Thailand,7522,253.715,1.851,Sydney-Bangkok,1987-04-01
China,947,39.568,0.0,Sydney-Beijing,1987-04-01
Yugoslavia,2059,62.981,0.0,Sydney-Belgrade,1987-04-01
India,2162,67.866,1.061,Sydney-Bombay,1987-04-01
New Zealand,16420,415.512,3.845,Sydney-Christchurch,1987-04-01
Sri Lanka,217,0.196,0.0,Sydney-Colombo,1987-04-01
Indonesia,6266,48.178,0.318,Sydney-Denpasar,1987-04-01
United Arab Emirates,43,120.077,0.0,Sydney-Dubai,1987-04-01
Germany,3005,341.965,18.872,Sydney-Frankfurt,1987-04-01
Zimbabwe,1396,32.399,1.205,Sydney-Harare,1987-04-01
Hong Kong,21256,948.618,7.246,Sydney-Hong Kong,1987-04-01
Usa,12610,420.76,0.869,Sydney-Honolulu,1987-04-01
Indonesia,3545,262.375,0.63,Sydney-Jakarta,1987-04-01
South Africa,1284,47.579,0.0,Sydney-Johannesburg,1987-04-01
Malaysia,6085,290.032,7.772,Sydney-Kuala Lumpur,1987-04-01
Uk,11045,475.957,29.725,Sydney-London,1987-04-01
Usa,14237,1228.097,0.0,Sydney-Los Angeles,1987-04-01
Uk,796,0.83,2.603,Sydney-Manchester,1987-04-01
Philippines,5674,181.641,1.49,Sydney-Manila,1987-04-01
Mauritius,158,3.996,0.0,Sydney-Mauritius,1987-04-01
Oman,194,42.1,0.0,Sydney-Muscat,1987-04-01
Fiji,12099,301.731,0.0,Sydney-Nadi,1987-04-01
Nauru,129,2.337,0.0,Sydney-Nauru,1987-04-01
Usa,507,35.684,0.0,Sydney-New York,1987-04-01
New Caledonia,3053,99.416,0.588,Sydney-Noumea,1987-04-01
Tahiti,2597,119.986,1.159,Sydney-Papeete,1987-04-01
France,643,81.221,0.0,Sydney-Paris,1987-04-01
Papua New Guinea,3426,126.326,22.76,Sydney-Port Moresby,1987-04-01
Vanuatu,247,5.778,0.257,Sydney-Port Vila,1987-04-01
Cook Islands,429,4.675,0.0,Sydney-Rarotonga,1987-04-01
Italy,2226,83.702,1.903,Sydney-Rome,1987-04-01
Usa,5882,486.528,29.007,Sydney-San Francisco,1987-04-01
Singapore,25357,1407.877,7.967,Sydney-Singapore,1987-04-01
Japan,18818,1301.876,28.101,Sydney-Tokyo,1987-04-01
Canada,954,67.224,0.0,Sydney-Toronto,1987-04-01
Canada,1193,57.006,1.31,Sydney-Vancouver,1987-04-01
New Zealand,10192,371.347,8.239,Sydney-Wellington,1987-04-01
New Zealand,816,9.761,0.0,Townsville-Auckland,1987-04-01
Bahrain,8,0.0,0.0,Townsville-Bahrain,1987-04-01
Thailand,14,0.0,0.0,Townsville-Bangkok,1987-04-01
Germany,141,0.0,0.0,Townsville-Frankfurt,1987-04-01
Uk,180,1.841,0.0,Townsville-London,1987-04-01
Singapore,527,2.201,0.0,Townsville-Singapore,1987-04-01
Netherlands,10,0.0,0.0,Adelaide-Amsterdam,1987-05-01
Greece,45,0.036,0.0,Adelaide-Athens,1987-05-01
New Zealand,1970,98.769,2.233,Adelaide-Auckland,1987-05-01
Bahrain,14,0.202,0.018,Adelaide-Bahrain,1987-05-01
Thailand,21,0.0,0.0,Adelaide-Bangkok,1987-05-01
Yugoslavia,7,0.0,0.0,Adelaide-Belgrade,1987-05-01
Germany,126,4.235,0.0,Adelaide-Frankfurt,1987-05-01
Usa,57,0.0,0.0,Adelaide-Honolulu,1987-05-01
Uk,2385,58.986,3.683,Adelaide-London,1987-05-01
Usa,22,0.0,0.0,Adelaide-Los Angeles,1987-05-01
Uk,113,0.845,0.0,Adelaide-Manchester,1987-05-01
Oman,14,0.0,0.0,Adelaide-Muscat,1987-05-01
Italy,129,0.23,0.0,Adelaide-Rome,1987-05-01
Usa,99,0.0,0.0,Adelaide-San Francisco,1987-05-01
Singapore,5574,400.382,0.341,Adelaide-Singapore,1987-05-01
Japan,12,0.0,0.0,Adelaide-Tokyo,1987-05-01
United Arab Emirates,17,0.0,0.0,Brisbane-Abu Dhabi,1987-05-01
Netherlands,81,0.049,0.0,Brisbane-Amsterdam,1987-05-01
Greece,82,0.0,0.0,Brisbane-Athens,1987-05-01
New Zealand,18069,356.115,10.855,Brisbane-Auckland,1987-05-01
Bahrain,21,0.032,0.0,Brisbane-Bahrain,1987-05-01
Thailand,1032,34.007,0.0,Brisbane-Bangkok,1987-05-01
India,17,0.0,0.0,Brisbane-Bombay,1987-05-01
New Zealand,7075,153.559,0.165,Brisbane-Christchurch,1987-05-01
Indonesia,3,0.0,0.0,Brisbane-Denpasar,1987-05-01
Germany,238,0.0,0.0,Brisbane-Frankfurt,1987-05-01
Hong Kong,2676,71.755,1.429,Brisbane-Hong Kong,1987-05-01
Solomon Islands,1171,14.214,0.0,Brisbane-Honiara,1987-05-01
Usa,549,7.884,0.0,Brisbane-Honolulu,1987-05-01
Indonesia,15,0.0,0.0,Brisbane-Jakarta,1987-05-01
Malaysia,6,0.0,0.0,Brisbane-Kuala Lumpur,1987-05-01
Cyprus,4,0.0,0.0,Brisbane-Larnaca,1987-05-01
Uk,2833,12.286,5.552,Brisbane-London,1987-05-01
Usa,706,0.783,0.0,Brisbane-Los Angeles,1987-05-01
Uk,222,0.028,0.0,Brisbane-Manchester,1987-05-01
Philippines,1686,33.601,0.088,Brisbane-Manila,1987-05-01
Fiji,992,39.316,0.0,Brisbane-Nadi,1987-05-01
New Caledonia,523,1.743,0.0,Brisbane-Noumea,1987-05-01
Tahiti,13,0.0,0.0,Brisbane-Papeete,1987-05-01
Papua New Guinea,2687,76.405,4.13,Brisbane-Port Moresby,1987-05-01
Vanuatu,336,7.72,0.172,Brisbane-Port Vila,1987-05-01
Italy,119,0.0,0.0,Brisbane-Rome,1987-05-01
Usa,493,0.0,2.237,Brisbane-San Francisco,1987-05-01
Singapore,5804,320.571,0.575,Brisbane-Singapore,1987-05-01
Fiji,73,1.189,0.0,Brisbane-Suva,1987-05-01
Japan,2462,66.359,1.779,Brisbane-Tokyo,1987-05-01
Canada,349,1.167,0.681,Brisbane-Vancouver,1987-05-01
New Zealand,4470,77.924,1.278,Brisbane-Wellington,1987-05-01
Greece,13,0.0,0.0,Cairns-Athens,1987-05-01
New Zealand,1486,15.876,0.0,Cairns-Auckland,1987-05-01
Bahrain,1,0.0,0.0,Cairns-Bahrain,1987-05-01
Yugoslavia,1,0.0,0.0,Cairns-Belgrade,1987-05-01
Hong Kong,2,0.0,0.0,Cairns-Hong Kong,1987-05-01
Usa,799,5.471,0.0,Cairns-Honolulu,1987-05-01
Uk,178,0.06,0.0,Cairns-London,1987-05-01
Usa,1091,0.154,0.0,Cairns-Los Angeles,1987-05-01
Uk,16,0.0,0.0,Cairns-Manchester,1987-05-01
Papua New Guinea,1975,80.587,0.0,Cairns-Port Moresby,1987-05-01
Italy,68,0.0,0.0,Cairns-Rome,1987-05-01
Usa,1128,0.0,0.0,Cairns-San Francisco,1987-05-01
Singapore,524,6.914,0.0,Cairns-Singapore,1987-05-01
Japan,625,5.17,0.0,Cairns-Tokyo,1987-05-01
Canada,434,0.57,0.0,Cairns-Vancouver,1987-05-01
Greece,31,0.0,0.0,Darwin-Athens,1987-05-01
New Zealand,259,3.13,0.086,Darwin-Auckland,1987-05-01
Bahrain,10,0.0,0.0,Darwin-Bahrain,1987-05-01
Brunei,598,8.511,0.0,Darwin-Bandar Seri Begawan,1987-05-01
Thailand,15,0.0,0.0,Darwin-Bangkok,1987-05-01
Yugoslavia,5,0.0,0.0,Darwin-Belgrade,1987-05-01
Indonesia,1289,2.093,0.0,Darwin-Denpasar,1987-05-01
Germany,57,0.032,0.0,Darwin-Frankfurt,1987-05-01
Indonesia,100,0.166,0.0,Darwin-Jakarta,1987-05-01
Indonesia,538,0.064,0.0,Darwin-Kupang,1987-05-01
Uk,242,0.353,0.182,Darwin-London,1987-05-01
Uk,16,0.0,0.0,Darwin-Manchester,1987-05-01
Italy,37,0.0,0.0,Darwin-Rome,1987-05-01
Singapore,1338,9.575,0.076,Darwin-Singapore,1987-05-01
New Zealand,454,7.03,0.042,Hobart-Auckland,1987-05-01
New Zealand,981,6.307,0.0,Hobart-Christchurch,1987-05-01
United Arab Emirates,46,109.946,0.0,Melbourne-Abu Dhabi,1987-05-01
Netherlands,1310,30.014,0.775,Melbourne-Amsterdam,1987-05-01
Greece,3307,25.921,1.657,Melbourne-Athens,1987-05-01
New Zealand,14901,981.603,12.324,Melbourne-Auckland,1987-05-01
Bahrain,84,137.483,1.826,Melbourne-Bahrain,1987-05-01
Thailand,5261,308.775,0.484,Melbourne-Bangkok,1987-05-01
Yugoslavia,1920,46.058,0.0,Melbourne-Belgrade,1987-05-01
India,331,4.753,0.402,Melbourne-Bombay,1987-05-01
New Zealand,6786,335.679,3.931,Melbourne-Christchurch,1987-05-01
Sri Lanka,297,2.538,0.0,Melbourne-Colombo,1987-05-01
Indonesia,5709,8.425,0.451,Melbourne-Denpasar,1987-05-01
United Arab Emirates,48,206.655,0.0,Melbourne-Dubai,1987-05-01
Germany,2400,643.858,17.681,Melbourne-Frankfurt,1987-05-01
Hong Kong,11042,804.395,4.869,Melbourne-Hong Kong,1987-05-01
Usa,3868,135.919,0.196,Melbourne-Honolulu,1987-05-01
Indonesia,1050,211.408,0.349,Melbourne-Jakarta,1987-05-01
Malaysia,4638,259.886,4.888,Melbourne-Kuala Lumpur,1987-05-01
Cyprus,30,0.0,0.0,Melbourne-Larnaca,1987-05-01
Uk,6394,200.882,21.485,Melbourne-London,1987-05-01
Usa,4945,675.176,0.0,Melbourne-Los Angeles,1987-05-01
Uk,452,2.076,1.096,Melbourne-Manchester,1987-05-01
Philippines,3231,132.935,0.149,Melbourne-Manila,1987-05-01
Oman,75,19.5,0.0,Melbourne-Muscat,1987-05-01
Fiji,2449,54.772,1.076,Melbourne-Nadi,1987-05-01
Nauru,199,18.996,0.0,Melbourne-Nauru,1987-05-01
Usa,268,26.958,0.0,Melbourne-New York,1987-05-01
New Caledonia,130,9.578,0.068,Melbourne-Noumea,1987-05-01
Tahiti,359,116.039,0.0,Melbourne-Papeete,1987-05-01
Papua New Guinea,47,0.0,0.0,Melbourne-Port Moresby,1987-05-01
Italy,2917,94.291,1.638,Melbourne-Rome,1987-05-01
Usa,1516,288.123,21.994,Melbourne-San Francisco,1987-05-01
Singapore,13982,849.039,4.715,Melbourne-Singapore,1987-05-01
Japan,2006,136.215,14.45,Melbourne-Tokyo,1987-05-01
Canada,305,6.163,2.138,Melbourne-Vancouver,1987-05-01
New Zealand,3551,194.755,3.605,Melbourne-Wellington,1987-05-01
New Zealand,1814,8.847,0.0,Norfolk Island-Auckland,1987-05-01
United Arab Emirates,3,0.1,0.0,Perth-Abu Dhabi,1987-05-01
Netherlands,14,0.0,0.0,Perth-Amsterdam,1987-05-01
Greece,140,0.0,0.0,Perth-Athens,1987-05-01
New Zealand,4983,131.025,2.363,Perth-Auckland,1987-05-01
Bahrain,53,29.084,0.066,Perth-Bahrain,1987-05-01
Thailand,1862,34.343,0.0,Perth-Bangkok,1987-05-01
Yugoslavia,48,0.158,0.0,Perth-Belgrade,1987-05-01
India,94,2.3,0.0,Perth-Bombay,1987-05-01
New Zealand,259,1.7,0.0,Perth-Christchurch,1987-05-01
Indonesia,4265,30.551,0.055,Perth-Denpasar,1987-05-01
Germany,254,0.032,0.073,Perth-Frankfurt,1987-05-01
Zimbabwe,704,10.267,0.291,Perth-Harare,1987-05-01
Hong Kong,3765,175.333,0.0,Perth-Hong Kong,1987-05-01
Usa,131,0.0,0.001,Perth-Honolulu,1987-05-01
Indonesia,495,71.773,0.0,Perth-Jakarta,1987-05-01
South Africa,437,4.134,0.0,Perth-Johannesburg,1987-05-01
Malaysia,5491,237.387,1.44,Perth-Kuala Lumpur,1987-05-01
Uk,5011,83.459,9.103,Perth-London,1987-05-01
Usa,80,0.0,0.0,Perth-Los Angeles,1987-05-01
Uk,303,0.05,0.0,Perth-Manchester,1987-05-01
Mauritius,133,1.797,0.0,Perth-Mauritius,1987-05-01
Oman,15,0.2,0.0,Perth-Muscat,1987-05-01
Italy,237,0.125,0.0,Perth-Rome,1987-05-01
Usa,203,0.0,1.699,Perth-San Francisco,1987-05-01
Singapore,15807,907.154,3.126,Perth-Singapore,1987-05-01
Japan,813,26.38,0.354,Perth-Tokyo,1987-05-01
Indonesia,412,0.139,0.0,Port Hedland-Denpasar,1987-05-01
Indonesia,6,0.0,0.0,Port Hedland-Jakarta,1987-05-01
United Arab Emirates,197,111.21,0.0,Sydney-Abu Dhabi,1987-05-01
Netherlands,1062,27.821,0.815,Sydney-Amsterdam,1987-05-01
Western Samoa,561,6.872,0.0,Sydney-Apia,1987-05-01
Greece,3316,29.08,1.255,Sydney-Athens,1987-05-01
New Zealand,57418,2765.395,47.105,Sydney-Auckland,1987-05-01
Bahrain,352,73.328,1.794,Sydney-Bahrain,1987-05-01
Thailand,7366,304.506,1.741,Sydney-Bangkok,1987-05-01
China,1279,65.054,0.0,Sydney-Beijing,1987-05-01
Yugoslavia,2148,61.847,0.0,Sydney-Belgrade,1987-05-01
India,2500,87.52,1.102,Sydney-Bombay,1987-05-01
New Zealand,15342,509.615,5.652,Sydney-Christchurch,1987-05-01
Sri Lanka,234,1.67,0.0,Sydney-Colombo,1987-05-01
Indonesia,5907,47.917,0.511,Sydney-Denpasar,1987-05-01
Usa,4,0.0,0.0,Sydney-Denver,1987-05-01
United Arab Emirates,35,110.113,0.0,Sydney-Dubai,1987-05-01
Germany,2832,353.854,19.571,Sydney-Frankfurt,1987-05-01
Zimbabwe,858,24.207,0.966,Sydney-Harare,1987-05-01
Hong Kong,19823,1573.905,7.285,Sydney-Hong Kong,1987-05-01
Usa,13367,475.005,0.717,Sydney-Honolulu,1987-05-01
Indonesia,3623,249.694,0.717,Sydney-Jakarta,1987-05-01
South Africa,1081,55.181,0.0,Sydney-Johannesburg,1987-05-01
Malaysia,5578,279.897,7.252,Sydney-Kuala Lumpur,1987-05-01
Cyprus,109,0.0,0.0,Sydney-Larnaca,1987-05-01
Uk,12155,651.921,31.668,Sydney-London,1987-05-01
Usa,15126,1318.364,0.199,Sydney-Los Angeles,1987-05-01
Uk,653,1.031,1.905,Sydney-Manchester,1987-05-01
Philippines,6366,262.139,1.363,Sydney-Manila,1987-05-01
Mauritius,314,6.815,0.0,Sydney-Mauritius,1987-05-01
Oman,234,19.7,0.0,Sydney-Muscat,1987-05-01
Fiji,9152,251.817,0.0,Sydney-Nadi,1987-05-01
Nauru,109,3.017,0.0,Sydney-Nauru,1987-05-01
Usa,661,39.623,0.0,Sydney-New York,1987-05-01
New Caledonia,3359,95.095,1.041,Sydney-Noumea,1987-05-01
Tahiti,2850,188.132,1.274,Sydney-Papeete,1987-05-01
France,652,60.063,0.0,Sydney-Paris,1987-05-01
Papua New Guinea,3322,141.297,27.746,Sydney-Port Moresby,1987-05-01
Vanuatu,594,14.973,0.645,Sydney-Port Vila,1987-05-01
Cook Islands,248,2.292,0.0,Sydney-Rarotonga,1987-05-01
Italy,2505,143.412,1.833,Sydney-Rome,1987-05-01
Usa,6871,560.453,33.016,Sydney-San Francisco,1987-05-01
Usa,285,0.0,0.0,Sydney-Seattle,1987-05-01
Singapore,23847,1314.599,7.959,Sydney-Singapore,1987-05-01
Japan,20337,1238.479,25.982,Sydney-Tokyo,1987-05-01
Canada,1210,66.099,0.0,Sydney-Toronto,1987-05-01
Canada,1527,69.795,3.504,Sydney-Vancouver,1987-05-01
New Zealand,10732,426.526,10.364,Sydney-Wellington,1987-05-01
New Zealand,1374,26.996,0.0,Townsville-Auckland,1987-05-01
Bahrain,3,0.0,0.0,Townsville-Bahrain,1987-05-01
Thailand,13,0.0,0.0,Townsville-Bangkok,1987-05-01
Germany,70,0.0,0.0,Townsville-Frankfurt,1987-05-01
Uk,188,2.774,0.0,Townsville-London,1987-05-01
Singapore,578,20.679,0.0,Townsville-Singapore,1987-05-01
Netherlands,13,0.0,0.0,Adelaide-Amsterdam,1987-06-01
Greece,79,0.008,0.0,Adelaide-Athens,1987-06-01
New Zealand,1958,86.866,2.136,Adelaide-Auckland,1987-06-01
Bahrain,15,0.04,0.019,Adelaide-Bahrain,1987-06-01
Thailand,71,0.0,0.0,Adelaide-Bangkok,1987-06-01
Germany,233,0.0,0.0,Adelaide-Frankfurt,1987-06-01
Usa,111,0.0,0.0,Adelaide-Honolulu,1987-06-01
Uk,2111,67.203,3.616,Adelaide-London,1987-06-01
Usa,86,0.0,0.0,Adelaide-Los Angeles,1987-06-01
Uk,55,0.07,0.0,Adelaide-Manchester,1987-06-01
Oman,19,0.0,0.0,Adelaide-Muscat,1987-06-01
Italy,92,0.009,0.0,Adelaide-Rome,1987-06-01
Usa,33,0.0,0.0,Adelaide-San Francisco,1987-06-01
Singapore,4932,246.662,0.335,Adelaide-Singapore,1987-06-01
Japan,8,1.304,0.0,Adelaide-Tokyo,1987-06-01
United Arab Emirates,9,0.0,0.0,Brisbane-Abu Dhabi,1987-06-01
Netherlands,89,0.0,0.0,Brisbane-Amsterdam,1987-06-01
Greece,198,0.0,0.0,Brisbane-Athens,1987-06-01
New Zealand,18232,364.626,10.369,Brisbane-Auckland,1987-06-01
Bahrain,10,0.109,0.0,Brisbane-Bahrain,1987-06-01
Thailand,1043,42.699,0.0,Brisbane-Bangkok,1987-06-01
India,10,0.3,0.0,Brisbane-Bombay,1987-06-01
New Zealand,7203,133.431,0.225,Brisbane-Christchurch,1987-06-01
Germany,272,0.0,0.0,Brisbane-Frankfurt,1987-06-01
Hong Kong,3231,86.633,1.426,Brisbane-Hong Kong,1987-06-01
Solomon Islands,1509,19.936,0.0,Brisbane-Honiara,1987-06-01
Usa,542,5.689,0.0,Brisbane-Honolulu,1987-06-01
Indonesia,15,0.0,0.0,Brisbane-Jakarta,1987-06-01
Malaysia,8,0.0,0.0,Brisbane-Kuala Lumpur,1987-06-01
Uk,3139,31.132,4.944,Brisbane-London,1987-06-01
Usa,791,0.288,0.0,Brisbane-Los Angeles,1987-06-01
Uk,170,0.0,0.0,Brisbane-Manchester,1987-06-01
Philippines,1212,19.347,0.073,Brisbane-Manila,1987-06-01
Fiji,847,33.555,0.0,Brisbane-Nadi,1987-06-01
New Caledonia,486,1.746,0.0,Brisbane-Noumea,1987-06-01
Tahiti,2,0.0,0.0,Brisbane-Papeete,1987-06-01
Papua New Guinea,3492,79.633,3.961,Brisbane-Port Moresby,1987-06-01
Vanuatu,349,3.596,0.11,Brisbane-Port Vila,1987-06-01
Italy,135,0.0,0.0,Brisbane-Rome,1987-06-01
Usa,610,0.0,1.478,Brisbane-San Francisco,1987-06-01
Singapore,6577,304.902,0.555,Brisbane-Singapore,1987-06-01
Fiji,74,1.322,0.0,Brisbane-Suva,1987-06-01
Japan,2679,83.18,2.355,Brisbane-Tokyo,1987-06-01
Canada,301,0.419,0.369,Brisbane-Vancouver,1987-06-01
New Zealand,3759,68.51,1.025,Brisbane-Wellington,1987-06-01
Greece,33,0.0,0.0,Cairns-Athens,1987-06-01
New Zealand,1340,31.331,0.0,Cairns-Auckland,1987-06-01
Bahrain,5,0.0,0.0,Cairns-Bahrain,1987-06-01
Usa,676,7.865,0.0,Cairns-Honolulu,1987-06-01
Uk,189,0.0,0.0,Cairns-London,1987-06-01
Usa,1123,0.139,0.0,Cairns-Los Angeles,1987-06-01
Uk,58,0.0,0.0,Cairns-Manchester,1987-06-01
Papua New Guinea,2776,97.243,0.0,Cairns-Port Moresby,1987-06-01
Italy,134,0.0,0.0,Cairns-Rome,1987-06-01
Usa,1175,0.0,0.0,Cairns-San Francisco,1987-06-01
Singapore,697,11.283,0.0,Cairns-Singapore,1987-06-01
Japan,852,5.037,0.0,Cairns-Tokyo,1987-06-01
Canada,268,5.3,0.0,Cairns-Vancouver,1987-06-01
Greece,58,0.0,0.0,Darwin-Athens,1987-06-01
New Zealand,196,2.035,0.093,Darwin-Auckland,1987-06-01
Bahrain,14,0.0,0.0,Darwin-Bahrain,1987-06-01
Brunei,824,7.721,0.0,Darwin-Bandar Seri Begawan,1987-06-01
Thailand,29,0.0,0.0,Darwin-Bangkok,1987-06-01
Indonesia,1442,0.924,0.0,Darwin-Denpasar,1987-06-01
Germany,75,0.0,0.0,Darwin-Frankfurt,1987-06-01
Indonesia,109,0.008,0.0,Darwin-Jakarta,1987-06-01
Indonesia,672,0.175,0.0,Darwin-Kupang,1987-06-01
Uk,368,0.05,0.171,Darwin-London,1987-06-01
Uk,22,0.16,0.0,Darwin-Manchester,1987-06-01
Italy,23,0.0,0.0,Darwin-Rome,1987-06-01
Singapore,1504,62.657,0.086,Darwin-Singapore,1987-06-01
New Zealand,395,18.873,0.051,Hobart-Auckland,1987-06-01
New Zealand,544,6.469,0.0,Hobart-Christchurch,1987-06-01
United Arab Emirates,152,94.978,0.0,Melbourne-Abu Dhabi,1987-06-01
Netherlands,956,19.603,0.684,Melbourne-Amsterdam,1987-06-01
Greece,3577,21.361,1.432,Melbourne-Athens,1987-06-01
New Zealand,11657,801.114,9.455,Melbourne-Auckland,1987-06-01
Bahrain,102,70.724,1.934,Melbourne-Bahrain,1987-06-01
Thailand,4893,269.561,0.494,Melbourne-Bangkok,1987-06-01
Yugoslavia,1794,52.815,0.0,Melbourne-Belgrade,1987-06-01
India,263,20.224,0.524,Melbourne-Bombay,1987-06-01
New Zealand,5319,315.672,2.341,Melbourne-Christchurch,1987-06-01
Sri Lanka,205,2.849,0.0,Melbourne-Colombo,1987-06-01
Indonesia,7305,11.72,0.429,Melbourne-Denpasar,1987-06-01
United Arab Emirates,22,220.358,0.0,Melbourne-Dubai,1987-06-01
Germany,2172,634.17,15.111,Melbourne-Frankfurt,1987-06-01
Hong Kong,11143,719.82,4.39,Melbourne-Hong Kong,1987-06-01
Usa,5919,183.109,0.233,Melbourne-Honolulu,1987-06-01
Indonesia,1179,257.859,0.393,Melbourne-Jakarta,1987-06-01
Malaysia,4322,200.19,4.715,Melbourne-Kuala Lumpur,1987-06-01
Uk,6645,178.445,20.755,Melbourne-London,1987-06-01
Usa,5431,742.049,1.153,Melbourne-Los Angeles,1987-06-01
Uk,330,0.167,0.512,Melbourne-Manchester,1987-06-01
Philippines,2882,147.794,0.182,Melbourne-Manila,1987-06-01
Oman,122,16.9,0.0,Melbourne-Muscat,1987-06-01
Fiji,913,44.451,1.913,Melbourne-Nadi,1987-06-01
Nauru,159,10.525,0.0,Melbourne-Nauru,1987-06-01
Usa,239,26.284,0.0,Melbourne-New York,1987-06-01
New Caledonia,279,12.516,0.07,Melbourne-Noumea,1987-06-01
Tahiti,336,60.342,0.0,Melbourne-Papeete,1987-06-01
Papua New Guinea,64,0.0,0.0,Melbourne-Port Moresby,1987-06-01
Italy,3099,83.113,1.591,Melbourne-Rome,1987-06-01
Usa,2174,157.511,22.345,Melbourne-San Francisco,1987-06-01
Singapore,14526,834.372,4.428,Melbourne-Singapore,1987-06-01
Japan,1998,172.696,11.4,Melbourne-Tokyo,1987-06-01
